Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Age group (product.metafields.shopify.age-group),Canopy material (product.metafields.shopify.canopy-material),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
authentic-bold-t-shirt-adult,Authentic Bold T-Shirt - Adult,"<ul>
<li>Material: 100% Cotton</li>
<li>Sizes: S - 4XL (<em>Unisex</em>)</li>
<li>Colors: Black, Gray, Tan, Military Green</li>
</ul>",Hafaloha,Apparel & Accessories > Clothing > Clothing Tops,T-Shirt,"Adult, Black, closeout-sale, Guam, hafaloha, Hawaii, Script",true,Size,S,,Color,BLK,,,,,01-TPTS-AUBOLD-BLK-MN-S,255.145708125,shopify,deny,manual,10.00,0.00,true,false,,,,,'100000081976,https://cdn.shopify.com/s/files/1/0559/9889/files/BOLD_01.jpg?v=1702855527,1,"",false,,,,,,,,,,,,,,adults,,,,,,,s; m; l; xl; 2xl; 3xl; 4xl,short,unisex; female; male,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha_Plain_-Black-BOLD.jpg?v=1702855527,oz,,7.50,active
authentic-bold-t-shirt-adult,,,,,,,,,S,,,GRY,,,,,01-TPTS-AUBOLD-GRY-MN-S,255.145708125,shopify,deny,manual,10.00,0.00,true,false,,,,,'100000082133,https://cdn.shopify.com/s/files/1/0559/9889/files/BOLD_02.jpg?v=1702855527,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha_Plain_-LightGrey-BOLD.jpg?v=1702855527,oz,,7.50,
authentic-bold-t-shirt-adult,,,,,,,,,S,,,TAN,,,,,01-TPTS-AUBOLD-TAN-MN-S,255.145708125,shopify,deny,manual,10.00,0.00,true,false,,,,,'100000082058,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha_Plain_-Black-BOLD.jpg?v=1702855527,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha_Plain_-Tan-BOLD.jpg?v=1702855527,oz,,7.50,
authentic-bold-t-shirt-adult,,,,,,,,,S,,,MILGRN,,,,,01-TPTS-AUBOLD-MILGRN-MN-S,255.145708125,shopify,deny,manual,10.00,0.00,true,false,,,,,'100000082218,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha_Plain_-LightGrey-BOLD.jpg?v=1702855527,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha_Plain_-MilitaryGreen-BOLD.jpg?v=1702855527,oz,,7.50,
authentic-bold-t-shirt-adult,,,,,,,,,M,,,BLK,,,,,01-TPTS-AUBOLD-BLK-MN-M,255.145708125,shopify,deny,manual,10.00,0.00,true,false,,,,,'100000081983,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha_Plain_-MilitaryGreen-BOLD.jpg?v=1702855527,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha_Plain_-Black-BOLD.jpg?v=1702855527,oz,,7.50,
authentic-bold-t-shirt-adult,,,,,,,,,M,,,GRY,,,,,01-TPTS-AUBOLD-GRY-MN-M,255.145708125,shopify,deny,manual,10.00,0.00,true,false,,,,,'100000082140,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha_Plain_-Tan-BOLD.jpg?v=1702855527,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha_Plain_-LightGrey-BOLD.jpg?v=1702855527,oz,,7.50,
authentic-bold-t-shirt-adult,,,,,,,,,M,,,TAN,,,,,01-TPTS-AUBOLD-TAN-MN-M,255.145708125,shopify,deny,manual,10.00,0.00,true,false,,,,,'100000082065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha_Plain_-Tan-BOLD.jpg?v=1702855527,oz,,7.50,
authentic-bold-t-shirt-adult,,,,,,,,,M,,,MILGRN,,,,,01-TPTS-AUBOLD-MILGRN-MN-M,255.145708125,shopify,deny,manual,10.00,0.00,true,false,,,,,'100000082225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha_Plain_-MilitaryGreen-BOLD.jpg?v=1702855527,oz,,7.50,
authentic-bold-t-shirt-adult,,,,,,,,,L,,,BLK,,,,,01-TPTS-AUBOLD-BLK-MN-L,255.145708125,shopify,deny,manual,10.00,0.00,true,false,,,,,'100000081990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha_Plain_-Black-BOLD.jpg?v=1702855527,oz,,7.50,
authentic-bold-t-shirt-adult,,,,,,,,,L,,,GRY,,,,,01-TPTS-AUBOLD-GRY-MN-L,255.145708125,shopify,deny,manual,10.00,0.00,true,false,,,,,'100000082157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha_Plain_-LightGrey-BOLD.jpg?v=1702855527,oz,,7.50,
